taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,version,pangolin_version,pangoLEARN_version,pango_version,status,note,sample
5COV_041_SW1_S27_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV_041
ICOV_7616_S2_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,7616
81616_S75,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,81616
ICOV_050_SW1,B.1.1.141,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,ICOV_050
5COV_057_SW1_S88_L001,B.1.1.317,0,0.999910558561782,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV_057
FCOV_012_SW1_S25,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,FCOV_012
KFU_COV_157_S73_L001,B.1.1.424,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,KFU_157
ICOV_008_SW1_S44,B.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,ICOV_008
ICOV_8888_S19_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,8888
ICOV_047_SW1,B.1.1.198,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,ICOV_047
KFU_COV_50_S45_L001,B.1.1.317,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,KFU_50
2KFU_COV_1_S38_L002,B.1.1.317,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_1
ICOV_007_SW1_S32,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,ICOV_007
IG_230,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,IG_230
6211_S77,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,6211
IG_155,B.1.1.161,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,IG_155
ICOV_8053_S5_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,8053
KFU_COV_25_S36_L001,B.1.1.294,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,KFU_25
